測站,X,Y
台北,301948.54,2770040.99
社子,297359.67,2777988.43
大直,304756.12,2774526.97
石牌,301814.49,2778757.88
天母,304163.75,2778888.87
士林,300736.11,2775862.78
內湖,308044.12,2774695.64
信義,306963.78,2770083.13
文山,308110.71,2766155.71
松山,305536.01,2771284.62
關渡,297320.21,2780635.63
南港,310830.13,2772049.33
永和,301283.4,2767114.24
